,loc
941,"48.864378,2.272659"
942,"48.828568,2.308155"
943,"48.853356,2.379679"
944,"48.840879,2.354645"
945,"48.872895,2.354009"
946,"48.837674,2.397259"
947,"48.88500108,2.295715069"
948,"48.826673,2.332129"
949,"48.881028588,2.308989575"
950,"48.827689,2.376997"
951,"48.874484,2.393216"
952,"48.84441,2.345308"
953,"48.850034,2.402399"
954,"48.834849,2.302679"
955,"48.889463,2.398924"
956,"48.825077,2.303951"
957,"48.859399315,2.404313622"
958,"48.834587,2.338058"
959,"48.87498,2.284362"
960,"48.874294,2.317442"
961,"48.864879,2.300642"
962,"48.855655,2.40852"
963,"48.863276,2.285077"
964,"48.853657,2.392284"
965,"48.861476,2.344183"
966,"48.878785,2.293949"
967,"48.881877,2.293983"
968,"48.848964535,2.291038983"
969,"48.87189,2.346084"
970,"48.884413,2.343739"
971,"48.859802,2.273197"
972,"48.899781,2.372313"
973,"48.840763,2.397609"
974,"48.831722,2.376565"
975,"48.878985,2.371357"
976,"48.878769019,2.331598172"
977,"48.884407,2.311502"
978,"48.852656,2.265405"
979,"48.892456707,2.304099204"
980,"48.87801,2.341086"
981,"48.842923,2.383432"
982,"48.8486,2.299795"
983,"48.846741,2.310267"
984,"48.835842,2.399965"
985,"48.843182,2.264665"
986,"48.820107,2.361721"
