,capacity,geo_point_2d
414,5,"48.87193827843072,2.3828015667051257"
415,6,"48.89016767928205,2.295916660523956"
416,6,"48.85072349265101,2.367246161685321"
417,6,"48.84927386831748,2.3137840482789027"
418,6,"48.8564024261713,2.3057617924478615"
419,6,"48.86110303759682,2.3082650162971925"
420,6,"48.88179562392939,2.3223407373126075"
421,6,"48.89407698272047,2.3491202184087614"
422,6,"48.89281354600841,2.3425528720001796"
423,6,"48.87642207134222,2.351319138948925"
424,6,"48.88402819386073,2.398195870973485"
425,7,"48.8827236127752,2.3467495310232165"
426,6,"48.88144786453145,2.344781842967696"
427,6,"48.85863882492041,2.343616548760294"
428,6,"48.87478908445562,2.365858868252136"
429,6,"48.84271311223179,2.331791513652361"
430,6,"48.85381320151751,2.3383501453906153"
431,6,"48.854314642284855,2.3304703349159257"
432,6,"48.87913802493504,2.3648430413430437"
433,1,"48.846943028316595,2.3213746314308468"
434,6,"48.87811463881834,2.3458235845715496"
435,6,"48.88399030175383,2.344466909354151"
436,6,"48.887523281395964,2.3535097123772437"
437,5,"48.869707971774716,2.369218947208107"
438,6,"48.833602515473466,2.3637438585667723"
439,6,"48.818797430333525,2.3633458080319834"
440,6,"48.84895709110367,2.346465780811022"
441,6,"48.86018710111099,2.2976121276577617"
442,6,"48.87658553624026,2.3158665590698098"
443,6,"48.84895476462076,2.291066696384476"
444,6,"48.84776100339017,2.3134832725293757"
445,10,"48.848889205729634,2.4057831233713487"
446,4,"48.88492178203324,2.359620081341065"
447,5,"48.862591498742674,2.3780891009029688"
448,5,"48.873135242852726,2.3072509801924688"
449,5,"48.884343405114045,2.3434436682620463"
450,6,"48.88947084955832,2.3460521839769113"
451,6,"48.85979696387823,2.3077315343380698"
452,6,"48.859438676339025,2.297441605960272"
453,6,"48.89260545967327,2.3784401444556793"
454,6,"48.833749047368855,2.3380603528459547"
455,6,"48.87981139094342,2.321025985653532"
456,6,"48.84794952754783,2.3805814573523914"
457,6,"48.89956716371238,2.3710398276879423"
458,7,"48.88784583008241,2.3182854952886407"
459,6,"48.88453227891248,2.330557452741161"
